norm,self_loop,sw,steps,gamma,size_norm,acc,nmi,ari,f1
sym,True,0.25,8,1.5,False,0.5858627858627858,0.5214327489703099,0.3892537523957749,0.464806812858665
sym,True,0.25,8,1.5,True,0.5846153846153846,0.5189162798376742,0.3878601177730731,0.4686276873669578
sym,True,0.25,8,2.0,False,0.5692307692307692,0.4960446187503269,0.3603788614131042,0.45000551474406575
sym,True,0.25,8,2.0,True,0.562993762993763,0.48541762472310884,0.35502422368890135,0.4406003561615202
sym,True,0.25,10,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,10,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,10,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,10,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,10,0.8,False,0.6166320166320166,0.6006563091420773,0.4505300363031902,0.5393325795507835
sym,True,0.25,10,0.8,True,0.614968814968815,0.6002792588355917,0.4486281694411332,0.5387139199417443
sym,True,0.25,10,1.0,False,0.6216216216216216,0.5950670829147564,0.4511091241331128,0.5403133486307579
sym,True,0.25,10,1.0,True,0.6178794178794179,0.5911522653275537,0.4470933075473686,0.5353852380818983
sym,True,0.25,10,1.2,False,0.6045738045738046,0.5536532031110503,0.4168852363365629,0.4881183372242439
sym,True,0.25,10,1.2,True,0.6020790020790021,0.5517579332856518,0.4152249523958302,0.48651414691885464
sym,True,0.25,10,1.5,False,0.5738045738045738,0.5011635620933901,0.3637728171487506,0.45311180708969956
sym,True,0.25,10,1.5,True,0.5708939708939709,0.4918787228884715,0.361855630982625,0.4459302691795471
sym,True,0.25,10,2.0,False,0.5642411642411642,0.4867959148312753,0.3474454885683859,0.44122546134003204
sym,True,0.25,10,2.0,True,0.5534303534303534,0.467503984107717,0.3377927508500977,0.4293466776873832
sym,True,0.25,12,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,12,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,12,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,12,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,12,0.8,False,0.6174636174636174,0.6018925747601026,0.45159181258876857,0.539810661372692
sym,True,0.25,12,0.8,True,0.614968814968815,0.6002792588355917,0.4486281694411332,0.5387139199417443
sym,True,0.25,12,1.0,False,0.6195426195426196,0.5893577476856781,0.4464460183075527,0.506789210038047
sym,True,0.25,12,1.0,True,0.6166320166320166,0.585847863617783,0.4435848630746295,0.5345999477979699
sym,True,0.25,12,1.2,False,0.5970893970893971,0.5380853711499187,0.40563601199440025,0.471574497600406
sym,True,0.25,12,1.2,True,0.5933471933471933,0.5333917138460659,0.3996873671643777,0.47428867505756117
sym,True,0.25,12,1.5,False,0.567983367983368,0.4889098763063653,0.3482004031902638,0.4437152516396276
sym,True,0.25,12,1.5,True,0.5604989604989605,0.47475497175757597,0.3438846359032344,0.4343618693616325
sym,True,0.25,12,2.0,False,0.5559251559251559,0.47584603253349994,0.3304298726498612,0.4311008931857987
sym,True,0.25,12,2.0,True,0.5438669438669439,0.45702021878408494,0.32124118173621535,0.41649341335894996
sym,True,0.25,16,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,16,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,16,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,16,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,16,0.8,False,0.6174636174636174,0.6018925747601026,0.45159181258876857,0.539810661372692
sym,True,0.25,16,0.8,True,0.6153846153846154,0.6004837687418397,0.44896640429580703,0.5390051768351495
sym,True,0.25,16,1.0,False,0.6182952182952183,0.5827710689143936,0.4419648411201716,0.5038380379053881
sym,True,0.25,16,1.0,True,0.6133056133056133,0.5785849875852878,0.4373941730825178,0.5007694504260012
sym,True,0.25,16,1.2,False,0.5841995841995842,0.513314644573045,0.3716008039063826,0.45637747293099984
sym,True,0.25,16,1.2,True,0.5812889812889813,0.5049219598007946,0.37377117582539715,0.45212264891195963
sym,True,0.25,16,1.5,False,0.5351351351351351,0.4625714956177412,0.3038263512189862,0.41253649155938493
sym,True,0.25,16,1.5,True,0.5343035343035343,0.44542272457659754,0.30479836765826396,0.40322705721367624
sym,True,0.25,16,2.0,False,0.5230769230769231,0.44966791826392905,0.28632000220392806,0.39318744513452153
sym,True,0.25,16,2.0,True,0.5185031185031185,0.43182691714635196,0.28404420782100637,0.38806673044403234
sym,True,0.25,20,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,20,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
